language,File Path,C++ToC#.cs,returncode,input,Expected,actualy
Pascal,./Projects/HumanEvalX\126\ExecutionsExp7Run4\08-22-2024_17h57m25s\PythonToPascal.pas,PythonToPascal.pas,0,[[5]],True,TRUE
C,./Projects/HumanEvalX\127\ExecutionsExp7Run4\08-22-2024_18h05m12s\JavascriptToC.c,JavascriptToC.c,1,"[[1, 2], [2, 3]]",NO,Insufficient number of arguments.
Haskell,./Projects/HumanEvalX\127\ExecutionsExp7Run4\08-22-2024_18h05m12s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[-3, -1], [-5, 5]]",YES,NO
Pascal,./Projects/HumanEvalX\13\ExecutionsExp7Run4\08-22-2024_18h13m48s\JavaToPascal.pas,JavaToPascal.pas,0,"[3, 7]",1,0
Pascal,./Projects/HumanEvalX\13\ExecutionsExp7Run4\08-22-2024_18h13m48s\PythonToPascal.pas,PythonToPascal.pas,0,"[3, 7]",1,0
C++,./Projects/HumanEvalX\130\ExecutionsExp7Run4\08-22-2024_18h20m20s\JavascriptToC++.c++,JavascriptToC++.c++,0,[3],"[1, 3, 2.0, 8.0]","(1, 3, 2, 8)"
C,./Projects/HumanEvalX\130\ExecutionsExp7Run4\08-22-2024_18h20m20s\JavascriptToC.c,JavascriptToC.c,0,[3],"[1, 3, 2.0, 8.0]","(1.0, 3.0, 2.0, 8.0)"
C#,./Projects/HumanEvalX\130\ExecutionsExp7Run4\08-22-2024_18h20m20s\JavaToC#.cs,JavaToC#.cs,0,[3],"[1, 3, 2.0, 8.0]","(1, 3, 2, 8)"
C++,./Projects/HumanEvalX\130\ExecutionsExp7Run4\08-22-2024_18h20m20s\JavaToC++.c++,JavaToC++.c++,0,[3],"[1, 3, 2.0, 8.0]",1 3 2 8
C,./Projects/HumanEvalX\130\ExecutionsExp7Run4\08-22-2024_18h20m20s\JavaToC.c,JavaToC.c,0,[3],"[1, 3, 2.0, 8.0]",1.0 3.0 2.0 8.0 0.0
Haskell,./Projects/HumanEvalX\130\ExecutionsExp7Run4\08-22-2024_18h20m20s\PythonToHaskell.hs,PythonToHaskell.hs,0,[3],"[1, 3, 2.0, 8.0]","[1.0, 3.0, 7.0, 2.0, 6.0]"
Haskell,./Projects/HumanEvalX\132\ExecutionsExp7Run4\08-22-2024_18h34m39s\C++ToHaskell.hs,C++ToHaskell.hs,0,['[[]]'],True,False
Haskell,./Projects/HumanEvalX\132\ExecutionsExp7Run4\08-22-2024_18h34m39s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,['[]]]]]]][[[[[]'],False,True
Haskell,./Projects/HumanEvalX\132\ExecutionsExp7Run4\08-22-2024_18h34m39s\JavaToHaskell.hs,JavaToHaskell.hs,0,['[[]]'],True,False
Pascal,./Projects/HumanEvalX\132\ExecutionsExp7Run4\08-22-2024_18h34m39s\JavaToPascal.pas,JavaToPascal.pas,0,['[[]]'],True,TRUE
Pascal,./Projects/HumanEvalX\132\ExecutionsExp7Run4\08-22-2024_18h34m39s\PythonToPascal.pas,PythonToPascal.pas,0,['[[]]'],True,TRUE
C#,./Projects/HumanEvalX\133\ExecutionsExp7Run4\08-22-2024_18h42m17s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2, 3]]",14,113
C,./Projects/HumanEvalX\133\ExecutionsExp7Run4\08-22-2024_18h42m17s\C++ToC.c,C++ToC.c,0,"[[1, 2, 3]]",14,13
Java,./Projects/HumanEvalX\133\ExecutionsExp7Run4\08-22-2024_18h42m17s\C++ToJava.java,C++ToJava.java,0,"[[1.0, 2, 3]]",14,0
C,./Projects/HumanEvalX\133\ExecutionsExp7Run4\08-22-2024_18h42m17s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",14,
Java,./Projects/HumanEvalX\133\ExecutionsExp7Run4\08-22-2024_18h42m17s\JavascriptToJava.java,JavascriptToJava.java,0,"[[-2.4, 1, 1]]",6,11.0
Pascal,./Projects/HumanEvalX\133\ExecutionsExp7Run4\08-22-2024_18h42m17s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2, 3]]",14,4.0
Python,./Projects/HumanEvalX\133\ExecutionsExp7Run4\08-22-2024_18h42m17s\JavascriptToPython.py,JavascriptToPython.py,0,"[[-2.4, 1, 1]]",6,11
C#,./Projects/HumanEvalX\133\ExecutionsExp7Run4\08-22-2024_18h42m17s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2, 3]]",14,113
C,./Projects/HumanEvalX\133\ExecutionsExp7Run4\08-22-2024_18h42m17s\JavaToC.c,JavaToC.c,3221225477,"[[1, 2, 3]]",14,
C#,./Projects/HumanEvalX\133\ExecutionsExp7Run4\08-22-2024_18h42m17s\PythonToC#.cs,PythonToC#.cs,0,"[[1.0, 2, 3]]",14,113
Pascal,./Projects/HumanEvalX\134\ExecutionsExp7Run4\08-22-2024_18h49m32s\C++ToPascal.pas,C++ToPascal.pas,0,['apple'],False,FALSE
C++,./Projects/HumanEvalX\134\ExecutionsExp7Run4\08-22-2024_18h49m32s\JavaToC++.c++,JavaToC++.c++,0,['eeeee e '],False,True
C,./Projects/HumanEvalX\134\ExecutionsExp7Run4\08-22-2024_18h49m32s\JavaToC.c,JavaToC.c,0,['eeeee e '],False,True
C++,./Projects/HumanEvalX\134\ExecutionsExp7Run4\08-22-2024_18h49m32s\PythonToC++.c++,PythonToC++.c++,0,['A'],True,False
C,./Projects/HumanEvalX\134\ExecutionsExp7Run4\08-22-2024_18h49m32s\PythonToC.c,PythonToC.c,0,['apple'],False,True
Haskell,./Projects/HumanEvalX\134\ExecutionsExp7Run4\08-22-2024_18h49m32s\PythonToHaskell.hs,PythonToHaskell.hs,0,['eeeee e '],False,True
Java,./Projects/HumanEvalX\134\ExecutionsExp7Run4\08-22-2024_18h49m32s\PythonToJava.java,PythonToJava.java,0,['eeeee e '],False,True
JavaScript,./Projects/HumanEvalX\134\ExecutionsExp7Run4\08-22-2024_18h49m32s\PythonToJavascript.js,PythonToJavascript.js,0,['A'],True,False
C,./Projects/HumanEvalX\135\ExecutionsExp7Run4\08-22-2024_18h56m20s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 4, 3, 5]]",3,"5
4
9
5
-1"
C++,./Projects/HumanEvalX\135\ExecutionsExp7Run4\08-22-2024_18h56m20s\PythonToC++.c++,PythonToC++.c++,3,[[]],-1,
C,./Projects/HumanEvalX\135\ExecutionsExp7Run4\08-22-2024_18h56m20s\PythonToC.c,PythonToC.c,0,"[[1, 2, 4, 5]]",-1,3
Pascal,./Projects/HumanEvalX\138\ExecutionsExp7Run4\08-22-2024_19h03m23s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[4],False,Please provide a number as a command-line argument.
Pascal,./Projects/HumanEvalX\138\ExecutionsExp7Run4\08-22-2024_19h03m23s\JavaToPascal.pas,JavaToPascal.pas,0,[4],False,FALSE
Pascal,./Projects/HumanEvalX\138\ExecutionsExp7Run4\08-22-2024_19h03m23s\PythonToPascal.pas,PythonToPascal.pas,0,[4],False,FALSE
Pascal,./Projects/HumanEvalX\139\ExecutionsExp7Run4\08-22-2024_19h09m28s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[7],125411328000,857276416
Haskell,./Projects/HumanEvalX\14\ExecutionsExp7Run4\08-22-2024_19h16m24s\C++ToHaskell.hs,C++ToHaskell.hs,0,['asdfgh'],"['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']",['aasasdasdfasdfgasdfgh']
C#,./Projects/HumanEvalX\14\ExecutionsExp7Run4\08-22-2024_19h16m24s\JavascriptToC#.cs,JavascriptToC#.cs,0,[''],[],"Input: '', Output: []"
C,./Projects/HumanEvalX\14\ExecutionsExp7Run4\08-22-2024_19h16m24s\JavascriptToC.c,JavascriptToC.c,0,[''],[],
Haskell,./Projects/HumanEvalX\14\ExecutionsExp7Run4\08-22-2024_19h16m24s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,[''],[],
Java,./Projects/HumanEvalX\14\ExecutionsExp7Run4\08-22-2024_19h16m24s\JavascriptToJava.java,JavascriptToJava.java,0,['asdfgh'],"['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']","[a, as, asd, asdf, asdfg, asdfgh]"
C#,./Projects/HumanEvalX\14\ExecutionsExp7Run4\08-22-2024_19h16m24s\PythonToC#.cs,PythonToC#.cs,0,[''],[],
C,./Projects/HumanEvalX\14\ExecutionsExp7Run4\08-22-2024_19h16m24s\PythonToC.c,PythonToC.c,0,[''],[],
Java,./Projects/HumanEvalX\14\ExecutionsExp7Run4\08-22-2024_19h16m24s\PythonToJava.java,PythonToJava.java,0,['asdfgh'],"['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']","[a, as, asd, asdf, asdfg, asdfgh]"
Haskell,./Projects/HumanEvalX\140\ExecutionsExp7Run4\08-22-2024_20h01m31s\C++ToHaskell.hs,C++ToHaskell.hs,0,['Mudasir Hanif '],Mudasir_Hanif_,Mudasi_rHani_f
Haskell,./Projects/HumanEvalX\140\ExecutionsExp7Run4\08-22-2024_20h01m31s\JavaToHaskell.hs,JavaToHaskell.hs,0,['Mudasir Hanif '],Mudasir_Hanif_,Mudasir_Hanif
Haskell,./Projects/HumanEvalX\140\ExecutionsExp7Run4\08-22-2024_20h01m31s\PythonToHaskell.hs,PythonToHaskell.hs,0,['Mudasir Hanif '],Mudasir_Hanif_,Mudasir_Hanif
C++,./Projects/HumanEvalX\141\ExecutionsExp7Run4\08-22-2024_20h08m46s\JavascriptToC++.c++,JavascriptToC++.c++,0,['all.exe.txt'],No,Yes
C,./Projects/HumanEvalX\141\ExecutionsExp7Run4\08-22-2024_20h08m46s\JavascriptToC.c,JavascriptToC.c,0,['all.exe.txt'],No,Yes
C,./Projects/HumanEvalX\141\ExecutionsExp7Run4\08-22-2024_20h08m46s\PythonToC.c,PythonToC.c,0,['all.exe.txt'],No,Yes
JavaScript,./Projects/HumanEvalX\142\ExecutionsExp7Run4\08-22-2024_20h16m09s\C++ToJavascript.js,C++ToJavascript.js,0,"[[-56, -99, 1, 0, -2]]",3030,3042
C,./Projects/HumanEvalX\142\ExecutionsExp7Run4\08-22-2024_20h16m09s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX\142\ExecutionsExp7Run4\08-22-2024_20h16m09s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
Pascal,./Projects/HumanEvalX\143\ExecutionsExp7Run4\08-22-2024_20h23m32s\JavaToPascal.pas,JavaToPascal.pas,0,['lets go for swimming'],go for,"go,for"
C#,./Projects/HumanEvalX\143\ExecutionsExp7Run4\08-22-2024_20h23m32s\PythonToC#.cs,PythonToC#.cs,0,['This is a test'],is,is a
Haskell,./Projects/HumanEvalX\143\ExecutionsExp7Run4\08-22-2024_20h23m32s\PythonToHaskell.hs,PythonToHaskell.hs,0,['This is a test'],is,This is test
C#,./Projects/HumanEvalX\145\ExecutionsExp7Run4\08-22-2024_20h30m33s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-1, -11, -12, 1, 11]"
C,./Projects/HumanEvalX\145\ExecutionsExp7Run4\08-22-2024_20h30m33s\C++ToC.c,C++ToC.c,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-1, -11, -12, 1, 11]"
Java,./Projects/HumanEvalX\145\ExecutionsExp7Run4\08-22-2024_20h30m33s\C++ToJava.java,C++ToJava.java,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-12, -11, -1, 1, 11]"
JavaScript,./Projects/HumanEvalX\145\ExecutionsExp7Run4\08-22-2024_20h30m33s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-12, -11, -1, 1, 11]"
Python,./Projects/HumanEvalX\145\ExecutionsExp7Run4\08-22-2024_20h30m33s\C++ToPython.py,C++ToPython.py,0,"[[1234, 423, 463, 145, 2, 423, 423, 53, 6, 37, 3457, 3, 56, 0, 46]]","[0, 2, 3, 6, 53, 423, 423, 423, 1234, 145, 37, 46, 56, 463, 3457]","[0, 2, 3, 1234, 145, 6, 423, 423, 423, 53, 37, 46, 56, 463, 3457]"
C++,./Projects/HumanEvalX\145\ExecutionsExp7Run4\08-22-2024_20h30m33s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-12, -11, -1, 1, 11]"
C,./Projects/HumanEvalX\145\ExecutionsExp7Run4\08-22-2024_20h30m33s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[1, -1, 11, -11, -12]"
C,./Projects/HumanEvalX\145\ExecutionsExp7Run4\08-22-2024_20h30m33s\JavaToC.c,JavaToC.c,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","(-12, -11, -1, 1, 11)"
C#,./Projects/HumanEvalX\145\ExecutionsExp7Run4\08-22-2024_20h30m33s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-12, -11, -1, 1, 11]"
C++,./Projects/HumanEvalX\145\ExecutionsExp7Run4\08-22-2024_20h30m33s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]",[]
C,./Projects/HumanEvalX\145\ExecutionsExp7Run4\08-22-2024_20h30m33s\PythonToC.c,PythonToC.c,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-12, -11, -1, 1, 11]"
Haskell,./Projects/HumanEvalX\145\ExecutionsExp7Run4\08-22-2024_20h30m33s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-12, -11, -1, 1, 11]"
Java,./Projects/HumanEvalX\145\ExecutionsExp7Run4\08-22-2024_20h30m33s\PythonToJava.java,PythonToJava.java,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-12, -11, -1, 1, 11]"
C++,./Projects/HumanEvalX\146\ExecutionsExp7Run4\08-22-2024_20h39m36s\JavascriptToC++.c++,JavascriptToC++.c++,3,[[]],0,
Pascal,./Projects/HumanEvalX\146\ExecutionsExp7Run4\08-22-2024_20h39m36s\JavaToPascal.pas,JavaToPascal.pas,0,"[[33, -2, -3, 45, 21, 109]]",2,1
C++,./Projects/HumanEvalX\146\ExecutionsExp7Run4\08-22-2024_20h39m36s\PythonToC++.c++,PythonToC++.c++,3,"[[5, -2, 1, -5]]",0,
C,./Projects/HumanEvalX\147\ExecutionsExp7Run4\08-22-2024_20h47m39s\C++ToC.c,C++ToC.c,0,[5],1,56510350
Haskell,./Projects/HumanEvalX\147\ExecutionsExp7Run4\08-22-2024_20h47m39s\C++ToHaskell.hs,C++ToHaskell.hs,0,[5],1,0
Haskell,./Projects/HumanEvalX\147\ExecutionsExp7Run4\08-22-2024_20h47m39s\JavaToHaskell.hs,JavaToHaskell.hs,0,[5],1,8
C#,./Projects/HumanEvalX\149\ExecutionsExp7Run4\08-22-2024_20h54m48s\C++ToC#.cs,C++ToC#.cs,0,"[['AI', 'ai', 'au']]","['AI', 'ai', 'au']","['ai', 'AI', 'au']"
C,./Projects/HumanEvalX\149\ExecutionsExp7Run4\08-22-2024_20h54m48s\C++ToC.c,C++ToC.c,0,"[['d', 'dcba', 'abcd', 'a']]","['abcd', 'dcba']","['dcba', 'abcd']"
Java,./Projects/HumanEvalX\149\ExecutionsExp7Run4\08-22-2024_20h54m48s\C++ToJava.java,C++ToJava.java,0,"[['aaaa', 'bbbb', 'dd', 'cc']]","['cc', 'dd', 'aaaa', 'bbbb']","['aaaa', 'bbbb', 'cc', 'dd']"
Python,./Projects/HumanEvalX\149\ExecutionsExp7Run4\08-22-2024_20h54m48s\C++ToPython.py,C++ToPython.py,0,"[['aaaa', 'bbbb', 'dd', 'cc']]","['cc', 'dd', 'aaaa', 'bbbb']","['aaaa', 'bbbb', 'cc', 'dd']"
C++,./Projects/HumanEvalX\149\ExecutionsExp7Run4\08-22-2024_20h54m48s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[['aa', 'a', 'aaa']]",['aa'],
C,./Projects/HumanEvalX\149\ExecutionsExp7Run4\08-22-2024_20h54m48s\JavascriptToC.c,JavascriptToC.c,0,"[['aa', 'a', 'aaa']]",['aa'],"[""'aa'""]"
C#,./Projects/HumanEvalX\149\ExecutionsExp7Run4\08-22-2024_20h54m48s\JavaToC#.cs,JavaToC#.cs,0,"[['AI', 'ai', 'au']]","['AI', 'ai', 'au']","['ai', 'AI', 'au']"
C++,./Projects/HumanEvalX\149\ExecutionsExp7Run4\08-22-2024_20h54m48s\JavaToC++.c++,JavaToC++.c++,0,"[['aa', 'a', 'aaa']]",['aa'],"['  a ', ' aa ', '  aaa ']"
C,./Projects/HumanEvalX\149\ExecutionsExp7Run4\08-22-2024_20h54m48s\JavaToC.c,JavaToC.c,0,"[['aa', 'a', 'aaa']]",['aa'],[]
C++,./Projects/HumanEvalX\149\ExecutionsExp7Run4\08-22-2024_20h54m48s\PythonToC++.c++,PythonToC++.c++,0,"[['aa', 'a', 'aaa']]",['aa'],[]
C,./Projects/HumanEvalX\149\ExecutionsExp7Run4\08-22-2024_20h54m48s\PythonToC.c,PythonToC.c,0,"[['aa', 'a', 'aaa']]",['aa'],"AI, asdf, school"
Java,./Projects/HumanEvalX\15\ExecutionsExp7Run4\08-22-2024_21h02m39s\JavascriptToJava.java,JavascriptToJava.java,0,[3],0 1 2 3,0 0 0 0
C,./Projects/HumanEvalX\152\ExecutionsExp7Run4\08-22-2024_21h16m11s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3, 4, 5, 1], [1, 2, 3, 4, 2, -2]]","[0, 0, 0, 0, 3, 3]","(0, 0, 0, 0, 3, 3)"
Haskell,./Projects/HumanEvalX\152\ExecutionsExp7Run4\08-22-2024_21h16m11s\JavaToHaskell.hs,JavaToHaskell.hs,0,"[[1, 2, 3, 4, 5, 1], [1, 2, 3, 4, 2, -2]]","[0, 0, 0, 0, 3, 3]",
C#,./Projects/HumanEvalX\152\ExecutionsExp7Run4\08-22-2024_21h16m11s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 2, 3, 4, 5, 1], [1, 2, 3, 4, 2, -2]]","[0, 0, 0, 0, 3, 3]","(0, 0, 0, 0, 3, 3)"
C++,./Projects/HumanEvalX\152\ExecutionsExp7Run4\08-22-2024_21h16m11s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3, 4, 5, 1], [1, 2, 3, 4, 2, -2]]","[0, 0, 0, 0, 3, 3]",
C,./Projects/HumanEvalX\152\ExecutionsExp7Run4\08-22-2024_21h16m11s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3, 4, 5, 1], [1, 2, 3, 4, 2, -2]]","[0, 0, 0, 0, 3, 3]","(0, 0, 0, 0, 3, 3)"
C,./Projects/HumanEvalX\153\ExecutionsExp7Run4\08-22-2024_21h23m17s\C++ToC.c,C++ToC.c,0,"['Watashi', ['tEN', 'niNE', 'eIGHt8OKe']]",Watashi.eIGHt8OKe,Watashi. eIGHt8OKe
Java,./Projects/HumanEvalX\153\ExecutionsExp7Run4\08-22-2024_21h23m17s\C++ToJava.java,C++ToJava.java,0,"['Watashi', ['tEN', 'niNE', 'eIGHt8OKe']]",Watashi.eIGHt8OKe,Watashi.'eIGHt8OKe'
C#,./Projects/HumanEvalX\153\ExecutionsExp7Run4\08-22-2024_21h23m17s\PythonToC#.cs,PythonToC#.cs,0,"['Watashi', ['tEN', 'niNE', 'eIGHt8OKe']]",Watashi.eIGHt8OKe,Watashi.'eIGHt8OKe'
C,./Projects/HumanEvalX\153\ExecutionsExp7Run4\08-22-2024_21h23m17s\PythonToC.c,PythonToC.c,0,"['Watashi', ['tEN', 'niNE', 'eIGHt8OKe']]",Watashi.eIGHt8OKe,__YESIMHERE.NuLl__
Pascal,./Projects/HumanEvalX\153\ExecutionsExp7Run4\08-22-2024_21h23m17s\PythonToPascal.pas,PythonToPascal.pas,0,"['Watashi', ['tEN', 'niNE', 'eIGHt8OKe']]",Watashi.eIGHt8OKe,Watashi.tEN
C,./Projects/HumanEvalX\156\ExecutionsExp7Run4\08-22-2024_21h31m22s\JavaToC.c,JavaToC.c,0,[19],xix,iiiiiiiiiiiiiiiiiii
Pascal,./Projects/HumanEvalX\157\ExecutionsExp7Run4\08-22-2024_21h38m37s\JavaToPascal.pas,JavaToPascal.pas,0,"[3, 4, 5]",True,TRUE
Pascal,./Projects/HumanEvalX\157\ExecutionsExp7Run4\08-22-2024_21h38m37s\PythonToPascal.pas,PythonToPascal.pas,0,"[3, 4, 5]",True,TRUE
C,./Projects/HumanEvalX\158\ExecutionsExp7Run4\08-22-2024_21h44m38s\C++ToC.c,C++ToC.c,0,"[['name', 'of', 'string']]",string,name
C++,./Projects/HumanEvalX\158\ExecutionsExp7Run4\08-22-2024_21h44m38s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[['name', 'enam', 'game']]",enam,string
Pascal,./Projects/HumanEvalX\158\ExecutionsExp7Run4\08-22-2024_21h44m38s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[['name', 'enam', 'game']]",enam,string
C++,./Projects/HumanEvalX\158\ExecutionsExp7Run4\08-22-2024_21h44m38s\JavaToC++.c++,JavaToC++.c++,0,"[['name', 'of', 'string']]",string,of
C,./Projects/HumanEvalX\158\ExecutionsExp7Run4\08-22-2024_21h44m38s\JavaToC.c,JavaToC.c,0,"[['name', 'enam', 'game']]",enam,name'
Python,./Projects/HumanEvalX\158\ExecutionsExp7Run4\08-22-2024_21h44m38s\JavaToPython.py,JavaToPython.py,0,"[['name', 'enam', 'game']]",enam,name
C#,./Projects/HumanEvalX\158\ExecutionsExp7Run4\08-22-2024_21h44m38s\PythonToC#.cs,PythonToC#.cs,0,"[['name', 'of', 'string']]",string,of
C++,./Projects/HumanEvalX\158\ExecutionsExp7Run4\08-22-2024_21h44m38s\PythonToC++.c++,PythonToC++.c++,0,"[['name', 'of', 'string']]",string,footbott
Haskell,./Projects/HumanEvalX\159\ExecutionsExp7Run4\08-22-2024_21h53m41s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[5, 6, 10]","[11, 4]","(11, 4)"
Haskell,./Projects/HumanEvalX\159\ExecutionsExp7Run4\08-22-2024_21h53m41s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[5, 6, 10]","[11, 4]","(11, 4)"
C++,./Projects/HumanEvalX\161\ExecutionsExp7Run4\08-22-2024_22h06m01s\JavascriptToC++.c++,JavascriptToC++.c++,0,['AsDf'],aSdF,FdSa
C,./Projects/HumanEvalX\161\ExecutionsExp7Run4\08-22-2024_22h06m01s\JavascriptToC.c,JavascriptToC.c,0,['AsDf'],aSdF,FdSa
Pascal,./Projects/HumanEvalX\161\ExecutionsExp7Run4\08-22-2024_22h06m01s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,['AsDf'],aSdF,FdSa
C++,./Projects/HumanEvalX\163\ExecutionsExp7Run4\08-22-2024_22h12m56s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[2, 10]","[2, 4, 6, 8]",2 4 6 8
C,./Projects/HumanEvalX\163\ExecutionsExp7Run4\08-22-2024_22h12m56s\JavascriptToC.c,JavascriptToC.c,0,"[2, 10]","[2, 4, 6, 8]","(2, 4, 6, 8)"
C#,./Projects/HumanEvalX\163\ExecutionsExp7Run4\08-22-2024_22h12m56s\JavaToC#.cs,JavaToC#.cs,0,"[2, 10]","[2, 4, 6, 8]","(2, 4, 6, 8)"
C#,./Projects/HumanEvalX\17\ExecutionsExp7Run4\08-22-2024_22h19m33s\JavascriptToC#.cs,JavascriptToC#.cs,0,['o o o o'],"[4, 4, 4, 4]",[0]
C#,./Projects/HumanEvalX\17\ExecutionsExp7Run4\08-22-2024_22h19m33s\PythonToC#.cs,PythonToC#.cs,0,[''],[],
C++,./Projects/HumanEvalX\18\ExecutionsExp7Run4\08-22-2024_22h25m48s\JavascriptToC++.c++,JavascriptToC++.c++,3,"['', 'x']",0,
C++,./Projects/HumanEvalX\18\ExecutionsExp7Run4\08-22-2024_22h25m48s\JavaToC++.c++,JavaToC++.c++,3,"['', 'x']",0,
C++,./Projects/HumanEvalX\18\ExecutionsExp7Run4\08-22-2024_22h25m48s\PythonToC++.c++,PythonToC++.c++,3,"['', 'x']",0,
C,./Projects/HumanEvalX\19\ExecutionsExp7Run4\08-22-2024_22h31m54s\JavascriptToC.c,JavascriptToC.c,0,['five zero four seven nine eight'],zero four five seven eight nine,five zero four seven nine eight
Pascal,./Projects/HumanEvalX\19\ExecutionsExp7Run4\08-22-2024_22h31m54s\PythonToPascal.pas,PythonToPascal.pas,0,['five zero four seven nine eight'],zero four five seven eight nine,five four seven nine eight zero
C#,./Projects/HumanEvalX\2\ExecutionsExp7Run4\08-22-2024_22h39m44s\C++ToC#.cs,C++ToC#.cs,0,[3.5],0.5,0
C#,./Projects/HumanEvalX\2\ExecutionsExp7Run4\08-22-2024_22h39m44s\JavascriptToC#.cs,JavascriptToC#.cs,0,[3.5],0.5,0
C#,./Projects/HumanEvalX\2\ExecutionsExp7Run4\08-22-2024_22h39m44s\JavaToC#.cs,JavaToC#.cs,0,[3.5],0.5,0
C#,./Projects/HumanEvalX\2\ExecutionsExp7Run4\08-22-2024_22h39m44s\PythonToC#.cs,PythonToC#.cs,0,[3.5],0.5,0
Pascal,./Projects/HumanEvalX\2\ExecutionsExp7Run4\08-22-2024_22h39m44s\PythonToPascal.pas,PythonToPascal.pas,0,[3.5],0.5,"Error: ""3.5"" is an invalid float"
C#,./Projects/HumanEvalX\20\ExecutionsExp7Run4\08-22-2024_22h46m43s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","[39, 40]"
JavaScript,./Projects/HumanEvalX\20\ExecutionsExp7Run4\08-22-2024_22h46m43s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","[0, 0]"
Java,./Projects/HumanEvalX\20\ExecutionsExp7Run4\08-22-2024_22h46m43s\JavascriptToJava.java,JavascriptToJava.java,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","[2.0, 2.0]"
Pascal,./Projects/HumanEvalX\20\ExecutionsExp7Run4\08-22-2024_22h46m43s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","(2.2, 3.1)"
C#,./Projects/HumanEvalX\20\ExecutionsExp7Run4\08-22-2024_22h46m43s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","[39, 40]"
C#,./Projects/HumanEvalX\20\ExecutionsExp7Run4\08-22-2024_22h46m43s\PythonToC#.cs,PythonToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","[39, 40]"
C++,./Projects/HumanEvalX\20\ExecutionsExp7Run4\08-22-2024_22h46m43s\PythonToC++.c++,PythonToC++.c++,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","[2.2, 3.1]"
